"","concept_id_1","concept_id_2","relationship_id","valid_start_date.x","valid_end_date.x","invalid_reason.x","icd_code","icd_name","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","valid_start_date.y","valid_end_date.y","invalid_reason.y"
"21",1567984,442793,"Maps to",19700101,20991231,NA,"E13.6","Other specified diabetes mellitus with other specified complications","Complication due to diabetes mellitus","Condition","SNOMED","Disorder","S","74627003",20020131,20991231,NA
"22",35206878,201254,"Maps to",20190109,20991231,NA,"E10.8","Type 1 diabetes mellitus with unspecified complications","Type 1 diabetes mellitus","Condition","SNOMED","Disorder","S","46635009",20020131,20991231,NA
"23",35206878,442793,"Maps to",20190109,20991231,NA,"E10.8","Type 1 diabetes mellitus with unspecified complications","Complication due to diabetes mellitus","Condition","SNOMED","Disorder","S","74627003",20020131,20991231,NA
"24",35206881,201826,"Maps to",20190109,20991231,NA,"E11.8","Type 2 diabetes mellitus with unspecified complications","Type 2 diabetes mellitus","Condition","SNOMED","Disorder","S","44054006",20020131,20991231,NA
"25",35206881,442793,"Maps to",20190109,20991231,NA,"E11.8","Type 2 diabetes mellitus with unspecified complications","Complication due to diabetes mellitus","Condition","SNOMED","Disorder","S","74627003",20020131,20991231,NA
"26",35206882,4193704,"Maps to",19700101,20991231,NA,"E11.9","Type 2 diabetes mellitus without complications","Type 2 diabetes mellitus without complication","Condition","SNOMED","Disorder","S","313436004",20020131,20991231,NA
"27",35206884,201820,"Maps to",20190109,20991231,NA,"E13.8","Other specified diabetes mellitus with unspecified complications","Diabetes mellitus","Condition","SNOMED","Disorder","S","73211009",20020131,20991231,NA
"28",35206884,442793,"Maps to",19700101,20991231,NA,"E13.8","Other specified diabetes mellitus with unspecified complications","Complication due to diabetes mellitus","Condition","SNOMED","Disorder","S","74627003",20020131,20991231,NA
"29",35206885,4008576,"Maps to",19700101,20991231,NA,"E13.9","Other specified diabetes mellitus without complications","Diabetes mellitus without complication","Condition","SNOMED","Disorder","S","111552007",20020131,20991231,NA
"30",1567957,4032787,"Maps to",20171001,20991231,NA,"E11.0","Type 2 diabetes mellitus with hyperosmolarity","Hyperosmolarity","Condition","SNOMED","Clinical Finding","S","14735008",20020131,20991231,NA
"31",35206879,201254,"Maps to",20240801,20991231,NA,"E10.9","Type 1 diabetes mellitus without complications","Type 1 diabetes mellitus","Condition","SNOMED","Disorder","S","46635009",20020131,20991231,NA
"32",1567974,201820,"Maps to",20190109,20991231,NA,"E13.1","Other specified diabetes mellitus with ketoacidosis","Diabetes mellitus","Condition","SNOMED","Disorder","S","73211009",20020131,20991231,NA
"33",1567942,201254,"Maps to",20250221,20991231,NA,"E10.2","Type 1 diabetes mellitus with kidney complications","Type 1 diabetes mellitus","Condition","SNOMED","Disorder","S","46635009",20020131,20991231,NA
"34",1567943,201254,"Maps to",20250221,20991231,NA,"E10.3","Type 1 diabetes mellitus with ophthalmic complications","Type 1 diabetes mellitus","Condition","SNOMED","Disorder","S","46635009",20020131,20991231,NA
"35",1567949,201254,"Maps to",20250221,20991231,NA,"E10.4","Type 1 diabetes mellitus with neurological complications","Type 1 diabetes mellitus","Condition","SNOMED","Disorder","S","46635009",20020131,20991231,NA
"36",1567950,201254,"Maps to",20250221,20991231,NA,"E10.5","Type 1 diabetes mellitus with circulatory complications","Type 1 diabetes mellitus","Condition","SNOMED","Disorder","S","46635009",20020131,20991231,NA
"37",1567958,201826,"Maps to",20250221,20991231,NA,"E11.2","Type 2 diabetes mellitus with kidney complications","Type 2 diabetes mellitus","Condition","SNOMED","Disorder","S","44054006",20020131,20991231,NA
"38",1567959,201826,"Maps to",20250221,20991231,NA,"E11.3","Type 2 diabetes mellitus with ophthalmic complications","Type 2 diabetes mellitus","Condition","SNOMED","Disorder","S","44054006",20020131,20991231,NA
"39",1567965,201826,"Maps to",20250221,20991231,NA,"E11.4","Type 2 diabetes mellitus with neurological complications","Type 2 diabetes mellitus","Condition","SNOMED","Disorder","S","44054006",20020131,20991231,NA
"40",1567966,201826,"Maps to",20250221,20991231,NA,"E11.5","Type 2 diabetes mellitus with circulatory complications","Type 2 diabetes mellitus","Condition","SNOMED","Disorder","S","44054006",20020131,20991231,NA
"41",1567975,201820,"Maps to",20250221,20991231,NA,"E13.2","Other specified diabetes mellitus with kidney complications","Diabetes mellitus","Condition","SNOMED","Disorder","S","73211009",20020131,20991231,NA
"42",1567976,201820,"Maps to",20250221,20991231,NA,"E13.3","Other specified diabetes mellitus with ophthalmic complications","Diabetes mellitus","Condition","SNOMED","Disorder","S","73211009",20020131,20991231,NA
"43",1567983,201820,"Maps to",20250221,20991231,NA,"E13.5","Other specified diabetes mellitus with circulatory complications","Diabetes mellitus","Condition","SNOMED","Disorder","S","73211009",20020131,20991231,NA
"44",1567941,201254,"Maps to",20190109,20991231,NA,"E10.1","Type 1 diabetes mellitus with ketoacidosis","Type 1 diabetes mellitus","Condition","SNOMED","Disorder","S","46635009",20020131,20991231,NA
"45",1567951,201254,"Maps to",20190109,20991231,NA,"E10.6","Type 1 diabetes mellitus with other specified complications","Type 1 diabetes mellitus","Condition","SNOMED","Disorder","S","46635009",20020131,20991231,NA
"46",1567951,442793,"Maps to",20190109,20991231,NA,"E10.6","Type 1 diabetes mellitus with other specified complications","Complication due to diabetes mellitus","Condition","SNOMED","Disorder","S","74627003",20020131,20991231,NA
"47",1567967,201826,"Maps to",20190109,20991231,NA,"E11.6","Type 2 diabetes mellitus with other specified complications","Type 2 diabetes mellitus","Condition","SNOMED","Disorder","S","44054006",20020131,20991231,NA
"48",1567967,442793,"Maps to",20190109,20991231,NA,"E11.6","Type 2 diabetes mellitus with other specified complications","Complication due to diabetes mellitus","Condition","SNOMED","Disorder","S","74627003",20020131,20991231,NA
