"","concept_id_1","concept_id_2","relationship_id","valid_start_date.x","valid_end_date.x","invalid_reason.x","icd_code","icd_name","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","valid_start_date.y","valid_end_date.y","invalid_reason.y"
"23",35207705,4124683,"Maps to",19700101,20991231,NA,"I25.6","Silent myocardial ischemia","Silent myocardial ischemia","Condition","SNOMED","Disorder","S","233823002",20020131,20991231,NA
"24",35207706,315286,"Maps to",19700101,20991231,NA,"I25.9","Chronic ischemic heart disease, unspecified","Chronic ischemic heart disease","Condition","SNOMED","Disorder","S","413838009",20050131,20991231,NA
"25",1569127,45766075,"Maps to",19700101,20991231,NA,"I21.0","ST elevation (STEMI) myocardial infarction of anterior wall","Acute anterior ST segment elevation myocardial infarction","Condition","SNOMED","Disorder","S","703164000",20140731,20991231,NA
"26",1569128,45766116,"Maps to",19700101,20991231,NA,"I21.1","ST elevation (STEMI) myocardial infarction of inferior wall","Acute ST segment elevation myocardial infarction of inferior wall","Condition","SNOMED","Disorder","S","703213009",20140731,20991231,NA
"27",1569129,4296653,"Maps to",19700101,20991231,NA,"I21.2","ST elevation (STEMI) myocardial infarction of other sites","Acute ST segment elevation myocardial infarction","Condition","SNOMED","Disorder","S","401303003",20030731,20991231,NA
"28",35207684,4296653,"Maps to",19700101,20991231,NA,"I21.3","ST elevation (STEMI) myocardial infarction of unspecified site","Acute ST segment elevation myocardial infarction","Condition","SNOMED","Disorder","S","401303003",20030731,20991231,NA
"29",35207689,45766114,"Maps to",19700101,20991231,NA,"I22.9","Subsequent ST elevation (STEMI) myocardial infarction of unspecified site","Subsequent ST segment elevation myocardial infarction","Condition","SNOMED","Disorder","S","703211006",20140731,20991231,NA
"30",1569134,40481919,"Maps to",20250212,20991231,NA,"I25.1","Atherosclerotic heart disease of native coronary artery","Coronary atherosclerosis","Condition","SNOMED","Disorder","S","443502000",20100131,20991231,NA
"31",35207697,4176969,"Maps to",20180101,20991231,NA,"I23.8","Other current complications following acute myocardial infarction","Sequelae of cardiovascular disorders","Condition","SNOMED","Disorder","S","363294003",20020131,20991231,NA
"32",35207697,1340204,"Maps to",20240227,20991231,NA,"I23.8","Other current complications following acute myocardial infarction","History of event","Observation","OMOP Extension","Context-dependent","S","OMOP5165859",20220506,20991231,NA
"33",35207699,4121477,"Maps to",20240227,20991231,NA,"I24.1","Dressler's syndrome","Post-infarction pericarditis","Condition","SNOMED","Disorder","S","233885007",20020131,20991231,NA
"34",44820864,314666,"Maps to",20131010,20991231,NA,"412","Old myocardial infarction","Old myocardial infarction","Condition","SNOMED","Disorder","S","1755008",20020131,20991231,NA
"35",44832372,312327,"Maps to",20131127,20991231,NA,"410","Acute myocardial infarction","Acute myocardial infarction","Condition","SNOMED","Disorder","S","57054005",20020131,20991231,NA
"36",44834725,4185932,"Maps to",20131010,20991231,NA,"411","Other acute and subacute forms of ischemic heart disease","Ischemic heart disease","Condition","SNOMED","Disorder","S","414545008",20050131,20991231,NA
